PriceHistoryID,ProductID,EffectiveDate,StandardCost,ListPrice,ChangeReason
PH000000069,P00069,2023-01-01,33.93,42.49,Promotion End
PH000000070,P00070,2023-01-03,108.27,138.89,Annual Review
PH000000071,P00071,2023-01-08,35.7,66.75,Promotion End
PH000000072,P00072,2023-01-05,6.17,10.96,Promotion End
PH000000073,P00073,2023-01-19,15.64,24.04,Cost Increase
PH000000074,P00074,2023-01-01,17.68,21.13,Annual Review
PH000000075,P00075,2023-01-05,57.82,70.82,Annual Review
PH000000076,P00076,2023-01-18,24.75,33.99,Promotion End
PH000000077,P00077,2023-01-15,8.48,12.24,Market Adjustment
PH000000078,P00078,2023-01-11,26.86,35.8,Promotion End
PH000000079,P00079,2023-01-02,29.68,48.94,Cost Increase
PH000000080,P00080,2023-01-12,19.65,25.74,Market Adjustment
PH000000081,P00081,2023-01-18,13.61,19.24,Cost Increase
PH000000082,P00082,2023-01-08,122.36,187.5,Market Adjustment
PH000000083,P00083,2023-01-03,48.34,62.69,Cost Increase
PH000000084,P00084,2023-01-16,51.25,84.43,Cost Increase
PH000000085,P00085,2023-01-15,24.03,39.08,Promotion End
PH000000086,P00086,2023-01-16,17.47,22.2,Market Adjustment
PH000000087,P00087,2023-01-18,19.52,27.04,Cost Increase
PH000000088,P00088,2023-01-08,11.31,12.94,Cost Increase
PH000000089,P00089,2023-01-18,82.72,125.09,Cost Increase
PH000000090,P00090,2023-01-15,25.08,31.96,Market Adjustment
PH000000091,P00091,2023-01-07,66.67,113.14,Promotion End
PH000000092,P00092,2023-01-10,20.89,30.17,Market Adjustment
PH000000093,P00093,2023-01-12,37.02,44.08,Cost Increase
PH000000094,P00094,2023-01-01,31.25,39.83,Annual Review
PH000000095,P00095,2023-01-17,10.47,12.2,Cost Increase
PH000000096,P00096,2023-01-16,90.21,108.79,Annual Review
PH000000097,P00097,2023-01-07,20.54,28.64,Cost Increase
PH000000098,P00098,2023-01-08,12.42,14.79,Promotion End
PH000000099,P00099,2023-01-08,43.14,54.52,Cost Increase
PH000000100,P00100,2023-01-20,27.39,35.31,Promotion End
PH000000101,P00101,2023-01-20,34.9,41.16,Annual Review
PH000000102,P00102,2023-01-11,29.33,52.69,Cost Increase
PH000000103,P00103,2023-01-15,6.48,12.01,Market Adjustment
PH000000104,P00104,2023-01-09,14.79,20.23,Promotion End
PH000000105,P00105,2023-01-09,14.67,19.28,Market Adjustment
PH000000106,P00106,2023-01-10,50.81,70.56,Promotion End
PH000000107,P00107,2023-01-12,27.84,43.29,Annual Review
PH000000108,P00108,2023-01-18,21.64,34.62,Market Adjustment
PH000000109,P00109,2023-01-21,39.99,67.52,Promotion End
PH000000110,P00110,2023-01-12,24.33,27.84,Annual Review
PH000000111,P00111,2023-01-07,22.97,38.24,Promotion End
PH000000112,P00112,2023-01-09,31.43,36.17,Cost Increase
PH000000113,P00113,2023-01-20,29.38,47.79,Annual Review
PH000000114,P00114,2023-01-07,158.69,189.49,Market Adjustment
PH000000115,P00115,2023-01-02,15.07,25.56,Promotion End
PH000000116,P00116,2023-01-18,9.88,15.24,Promotion End
PH000000117,P00117,2023-01-12,33.82,53.34,Market Adjustment
PH000000118,P00118,2023-01-05,16.28,23.42,Annual Review
PH000000119,P00119,2023-01-04,6.03,7.14,Annual Review
PH000000120,P00120,2023-01-13,12.79,16.35,Cost Increase
PH000000121,P00121,2023-01-05,14.42,19.65,Promotion End
PH000000122,P00122,2023-01-09,7.91,9.12,Market Adjustment
PH000000123,P00123,2023-01-21,120.11,140.33,Promotion End
PH000000124,P00124,2023-01-15,12.4,16.64,Annual Review
PH000000125,P00125,2023-01-14,210.03,275.52,Annual Review
PH000000126,P00126,2023-01-21,21.02,23.78,Cost Increase
PH000000127,P00127,2023-01-21,91.28,134.1,Market Adjustment
PH000000128,P00128,2023-01-19,22.88,35.42,Promotion End
PH000000129,P00129,2023-01-03,37.76,51.76,Annual Review
PH000000130,P00130,2023-01-19,24.71,32.12,Market Adjustment
PH000000131,P00131,2023-01-12,23.0,31.9,Market Adjustment
PH000000132,P00132,2023-01-13,31.37,46.55,Cost Increase
PH000000133,P00133,2023-01-05,37.85,67.77,Market Adjustment
PH000000134,P00134,2023-01-02,30.8,54.87,Cost Increase
PH000000135,P00135,2023-01-20,28.86,38.89,Market Adjustment
PH000000136,P00136,2023-01-21,16.08,22.07,Annual Review
PH000000137,P00137,2023-01-08,25.06,34.32,Annual Review
PH000000138,P00138,2023-01-18,80.46,100.68,Cost Increase
PH000000139,P00139,2023-01-05,16.14,17.99,Cost Increase
PH000000140,P00140,2023-01-09,64.02,87.91,Cost Increase
PH000000141,P00141,2023-01-17,37.42,46.32,Annual Review
PH000000142,P00142,2023-01-14,52.32,63.43,Market Adjustment
PH000000143,P00143,2023-01-21,12.76,16.72,Annual Review
PH000000144,P00144,2023-01-06,33.06,41.1,Cost Increase
PH000000145,P00145,2023-01-07,22.07,26.06,Market Adjustment
PH000000146,P00146,2023-01-16,23.0,32.52,Cost Increase
PH000000147,P00147,2023-01-09,77.66,92.47,Market Adjustment
PH000000148,P00148,2023-01-09,23.0,33.78,Market Adjustment
PH000000149,P00149,2023-01-21,34.3,50.29,Market Adjustment
PH000000150,P00150,2023-01-12,7.9,11.94,Cost Increase
PH000000151,P00151,2023-01-15,90.03,130.0,Market Adjustment
PH000000152,P00152,2023-01-04,49.85,68.62,Annual Review
PH000000153,P00153,2023-01-13,26.5,30.67,Promotion End
PH000000154,P00154,2023-01-04,22.07,35.48,Market Adjustment
PH000000155,P00155,2023-01-10,40.63,59.62,Promotion End
PH000000156,P00156,2023-01-21,62.89,71.27,Promotion End
PH000000157,P00157,2023-01-16,90.94,111.33,Promotion End
PH000000158,P00158,2023-01-21,49.31,66.02,Annual Review
PH000000159,P00159,2023-01-09,28.16,37.97,Promotion End
PH000000160,P00160,2023-01-02,55.01,74.25,Cost Increase
PH000000161,P00161,2023-01-13,47.53,66.9,Annual Review
PH000000162,P00162,2023-01-12,62.8,99.37,Cost Increase
PH000000163,P00163,2023-01-08,96.36,117.79,Cost Increase
PH000000164,P00164,2023-01-18,8.87,10.73,Cost Increase
PH000000165,P00165,2023-01-20,11.73,14.56,Cost Increase
PH000000166,P00166,2023-01-02,78.58,103.46,Cost Increase
PH000000167,P00167,2023-01-07,16.39,28.39,Cost Increase
PH000000168,P00168,2023-01-02,27.83,35.68,Annual Review
PH000000169,P00169,2023-01-18,16.86,20.42,Market Adjustment
PH000000170,P00170,2023-01-16,61.99,82.92,Market Adjustment
PH000000171,P00171,2023-01-03,5.54,7.34,Cost Increase
PH000000172,P00172,2023-01-07,28.61,49.97,Market Adjustment
PH000000173,P00173,2023-01-03,83.73,118.24,Market Adjustment
PH000000174,P00174,2023-01-16,18.33,31.62,Annual Review
PH000000175,P00175,2023-01-03,8.78,12.86,Cost Increase
PH000000176,P00176,2023-01-06,34.93,65.11,Market Adjustment
PH000000177,P00177,2023-01-08,18.01,23.39,Market Adjustment
PH000000178,P00178,2023-01-12,58.74,78.9,Promotion End
PH000000179,P00179,2023-01-19,32.74,50.13,Cost Increase
PH000000180,P00180,2023-01-04,14.92,20.95,Annual Review
PH000000181,P00181,2023-01-15,24.47,27.87,Annual Review
PH000000182,P00182,2023-01-07,55.59,62.26,Market Adjustment
PH000000183,P00183,2023-01-21,24.6,42.13,Promotion End
PH000000184,P00184,2023-01-21,16.53,19.84,Annual Review
PH000000185,P00185,2023-01-08,30.96,39.12,Promotion End
PH000000186,P00186,2023-01-02,27.18,43.76,Market Adjustment
PH000000187,P00187,2023-01-11,49.19,69.92,Market Adjustment
PH000000188,P00188,2023-01-18,40.4,54.01,Annual Review
PH000000189,P00189,2023-01-15,23.73,29.44,Cost Increase
PH000000190,P00190,2023-01-10,81.76,116.11,Annual Review
PH000000191,P00191,2023-01-02,29.37,52.84,Annual Review
PH000000192,P00192,2023-01-09,8.96,11.56,Promotion End
PH000000193,P00193,2023-01-08,9.06,11.78,Promotion End
PH000000194,P00194,2023-01-12,37.03,58.38,Promotion End
PH000000195,P00195,2023-01-21,33.43,56.2,Cost Increase
PH000000196,P00196,2023-01-10,5.35,7.48,Promotion End
PH000000197,P00197,2023-01-04,19.96,28.32,Promotion End
PH000000198,P00198,2023-01-17,43.98,65.34,Market Adjustment
PH000000199,P00199,2023-01-08,46.2,84.06,Annual Review
PH000000200,P00200,2023-01-06,39.8,45.32,Annual Review
PH000000201,P00201,2023-01-05,24.34,28.38,Promotion End
PH000000202,P00202,2023-01-17,47.8,62.2,Annual Review
PH000000203,P00203,2023-01-18,39.82,66.32,Market Adjustment
PH000000204,P00204,2023-01-02,24.86,44.57,Annual Review
PH000000205,P00205,2023-01-19,6.66,11.47,Annual Review
PH000000206,P00206,2023-01-03,9.52,16.11,Promotion End
PH000000207,P00207,2023-01-07,16.54,30.89,Promotion End
PH000000208,P00208,2023-01-09,22.6,29.65,Annual Review
PH000000209,P00209,2023-01-09,58.45,90.77,Cost Increase
PH000000210,P00210,2023-01-12,25.49,31.99,Market Adjustment
PH000000211,P00211,2023-01-17,28.7,33.75,Annual Review
PH000000212,P00212,2023-01-20,18.2,29.9,Promotion End
PH000000213,P00213,2023-01-07,14.75,25.75,Market Adjustment
PH000000214,P00214,2023-01-18,47.41,55.04,Cost Increase
PH000000215,P00215,2023-01-18,10.15,12.7,Cost Increase
PH000000216,P00216,2023-01-16,12.87,17.2,Promotion End
PH000000217,P00217,2023-01-16,25.15,36.84,Annual Review
PH000000218,P00218,2023-01-21,52.78,74.87,Promotion End
PH000000219,P00219,2023-01-08,19.18,23.97,Cost Increase
PH000000220,P00220,2023-01-04,16.99,23.13,Annual Review
PH000000221,P00221,2023-01-10,24.26,39.77,Promotion End
PH000000222,P00222,2023-01-05,35.49,54.05,Market Adjustment
PH000000223,P00223,2023-01-10,21.45,37.1,Promotion End
PH000000224,P00224,2023-01-17,57.63,81.03,Annual Review
PH000000225,P00225,2023-01-02,59.07,91.96,Market Adjustment
PH000000226,P00226,2023-01-13,25.33,32.4,Promotion End
PH000000227,P00227,2023-01-10,108.47,147.22,Cost Increase
PH000000228,P00228,2023-01-09,28.11,36.17,Promotion End
PH000000229,P00229,2023-01-19,59.17,70.19,Annual Review
PH000000230,P00230,2023-01-16,34.87,41.23,Cost Increase
PH000000231,P00231,2023-01-15,34.0,39.52,Cost Increase
PH000000232,P00232,2023-01-16,8.97,11.12,Market Adjustment
PH000000233,P00233,2023-01-02,12.57,16.49,Market Adjustment
PH000000234,P00234,2023-01-20,21.87,35.02,Cost Increase
PH000000235,P00235,2023-01-07,59.08,90.25,Promotion End
PH000000236,P00236,2023-01-18,34.51,59.6,Promotion End
PH000000237,P00237,2023-01-10,22.28,31.29,Promotion End
PH000000238,P00238,2023-01-01,42.13,56.65,Promotion End
PH000000239,P00239,2023-01-16,57.07,94.37,Cost Increase
PH000000240,P00240,2023-01-02,27.45,35.19,Annual Review
PH000000241,P00241,2023-01-01,32.53,48.62,Annual Review
PH000000242,P00242,2023-01-01,29.32,50.29,Promotion End
PH000000243,P00243,2023-01-04,26.14,37.71,Promotion End
PH000000244,P00244,2023-01-19,15.73,22.14,Cost Increase
PH000000245,P00245,2023-01-01,15.18,19.78,Annual Review
PH000000246,P00246,2023-01-21,58.26,105.32,Annual Review
PH000000247,P00247,2023-01-05,22.47,29.56,Promotion End
PH000000248,P00248,2023-01-06,22.24,37.56,Market Adjustment
PH000000249,P00249,2023-01-03,7.5,12.57,Annual Review
PH000000250,P00250,2023-01-04,6.66,8.07,Market Adjustment
PH000000251,P00251,2023-01-12,69.09,104.47,Cost Increase
PH000000252,P00252,2023-01-02,16.87,21.9,Promotion End
PH000000253,P00253,2023-01-13,3.35,6.08,Cost Increase
PH000000254,P00254,2023-01-10,145.85,189.04,Annual Review
PH000000255,P00255,2023-01-17,18.18,26.01,Annual Review
PH000000256,P00256,2023-01-04,9.34,15.02,Promotion End
PH000000257,P00257,2023-01-12,29.08,38.88,Market Adjustment
PH000000258,P00258,2023-01-09,46.44,72.38,Annual Review
PH000000259,P00259,2023-01-16,42.59,66.14,Promotion End
PH000000260,P00260,2023-01-15,51.86,67.03,Market Adjustment
PH000000261,P00261,2023-01-06,13.68,24.41,Annual Review
PH000000262,P00262,2023-01-16,68.04,83.37,Market Adjustment
PH000000263,P00263,2023-01-18,72.54,99.48,Market Adjustment
PH000000264,P00264,2023-01-08,75.35,93.99,Annual Review
PH000000265,P00265,2023-01-14,31.89,38.53,Annual Review
PH000000266,P00266,2023-01-18,20.89,29.83,Annual Review
PH000000267,P00267,2023-01-10,19.79,27.47,Cost Increase
PH000000268,P00268,2023-01-20,9.14,10.9,Market Adjustment
PH000000269,P00269,2023-01-17,18.35,33.48,Annual Review
PH000000270,P00270,2023-01-13,5.1,5.94,Promotion End
PH000000271,P00271,2023-01-02,8.57,10.34,Market Adjustment
PH000000272,P00272,2023-01-19,32.63,38.63,Promotion End
PH000000273,P00273,2023-01-15,23.13,31.19,Market Adjustment
PH000000274,P00274,2023-01-19,31.92,44.35,Cost Increase
PH000000275,P00275,2023-01-05,44.93,72.38,Annual Review
PH000000276,P00276,2023-01-15,35.08,60.13,Promotion End
PH000000277,P00277,2023-01-20,32.89,47.0,Market Adjustment
PH000000278,P00278,2023-01-06,25.42,29.13,Annual Review
PH000000279,P00279,2023-01-19,16.05,25.05,Promotion End
PH000000280,P00280,2023-01-17,11.13,17.86,Cost Increase
PH000000281,P00281,2023-01-11,25.36,45.01,Market Adjustment
PH000000282,P00282,2023-01-21,27.71,46.72,Cost Increase
PH000000283,P00283,2023-01-12,50.15,59.06,Annual Review
PH000000284,P00284,2023-01-20,24.48,27.51,Market Adjustment
PH000000285,P00285,2023-01-21,40.66,46.74,Annual Review
PH000000286,P00286,2023-01-12,9.95,15.24,Annual Review
PH000000287,P00287,2023-01-11,32.24,48.49,Cost Increase
PH000000288,P00288,2023-01-09,30.43,44.08,Annual Review
PH000000289,P00289,2023-01-20,68.52,87.76,Promotion End
PH000000290,P00290,2023-01-15,22.62,29.41,Annual Review
PH000000291,P00291,2023-01-19,5.05,8.43,Market Adjustment
PH000000292,P00292,2023-01-15,22.14,28.43,Annual Review
PH000000293,P00293,2023-01-16,44.58,62.73,Market Adjustment
PH000000294,P00294,2023-01-09,11.88,14.18,Cost Increase
PH000000295,P00295,2023-01-13,32.75,56.39,Promotion End
PH000000296,P00296,2023-01-15,11.76,13.92,Promotion End
PH000000297,P00297,2023-01-20,98.21,134.02,Market Adjustment
PH000000298,P00298,2023-01-03,11.1,15.87,Annual Review
PH000000299,P00299,2023-01-14,19.01,23.93,Annual Review
PH000000300,P00300,2023-01-12,32.11,37.98,Annual Review
PH000000301,P00301,2023-01-01,38.69,60.14,Promotion End
PH000000302,P00302,2023-01-12,66.43,113.07,Promotion End
PH000000303,P00303,2023-01-16,17.75,23.96,Promotion End
PH000000304,P00304,2023-01-12,46.89,68.83,Annual Review
PH000000305,P00305,2023-01-13,8.17,10.45,Promotion End
PH000000306,P00306,2023-01-07,13.13,16.73,Market Adjustment
PH000000307,P00307,2023-01-10,10.27,14.32,Market Adjustment
PH000000308,P00308,2023-01-18,15.82,21.44,Promotion End
PH000000309,P00309,2023-01-09,44.0,56.65,Market Adjustment
PH000000310,P00310,2023-01-21,17.59,28.56,Annual Review
PH000000311,P00311,2023-01-13,19.79,30.0,Cost Increase
PH000000312,P00312,2023-01-12,33.13,45.64,Market Adjustment
PH000000313,P00313,2023-01-17,37.79,45.88,Market Adjustment
PH000000314,P00314,2023-01-13,20.27,33.51,Cost Increase
PH000000315,P00315,2023-01-13,13.47,15.69,Promotion End
PH000000316,P00316,2023-01-06,84.53,113.51,Annual Review
PH000000317,P00317,2023-01-04,20.83,29.82,Annual Review
PH000000318,P00318,2023-01-14,21.86,34.25,Market Adjustment
PH000000319,P00319,2023-01-05,24.17,41.96,Annual Review
PH000000320,P00320,2023-01-04,40.68,48.07,Market Adjustment
PH000000321,P00321,2023-01-21,9.67,13.37,Annual Review
PH000000322,P00322,2023-01-13,116.81,204.6,Cost Increase
PH000000323,P00323,2023-01-21,21.03,34.83,Cost Increase
PH000000324,P00324,2023-01-13,41.7,51.87,Market Adjustment
PH000000325,P00325,2023-01-17,30.82,37.92,Promotion End
PH000000326,P00326,2023-01-03,101.75,178.37,Annual Review
PH000000327,P00327,2023-01-05,87.19,114.62,Promotion End
PH000000328,P00328,2023-01-10,41.05,51.36,Annual Review
PH000000329,P00329,2023-01-03,14.68,20.81,Cost Increase
PH000000330,P00330,2023-01-01,63.02,79.95,Annual Review
PH000000331,P00331,2023-01-17,8.13,14.57,Annual Review
PH000000332,P00332,2023-01-15,14.63,21.55,Cost Increase
PH000000333,P00333,2023-01-12,25.6,46.97,Annual Review
PH000000334,P00334,2023-01-16,8.85,14.42,Cost Increase
PH000000335,P00335,2023-01-18,18.59,31.82,Market Adjustment
PH000000336,P00336,2023-01-15,47.5,62.21,Promotion End
PH000000337,P00337,2023-01-12,16.48,26.17,Promotion End
PH000000338,P00338,2023-01-01,49.01,69.28,Annual Review
PH000000339,P00339,2023-01-09,146.59,248.51,Market Adjustment
PH000000340,P00340,2023-01-04,34.96,44.47,Market Adjustment
PH000000341,P00341,2023-01-06,49.15,61.22,Cost Increase
PH000000342,P00342,2023-01-08,66.37,108.61,Annual Review
PH000000343,P00343,2023-01-15,20.2,26.62,Cost Increase
PH000000344,P00344,2023-01-13,46.35,69.51,Market Adjustment
PH000000345,P00345,2023-01-02,20.09,28.72,Market Adjustment
PH000000346,P00346,2023-01-02,33.66,59.1,Promotion End
PH000000347,P00347,2023-01-04,52.06,76.39,Annual Review
PH000000348,P00348,2023-01-04,15.63,21.74,Annual Review
PH000000349,P00349,2023-01-19,5.42,8.35,Market Adjustment
PH000000350,P00350,2023-01-01,14.69,17.92,Market Adjustment
PH000000351,P00351,2023-01-05,58.25,76.96,Cost Increase
PH000000352,P00352,2023-01-10,13.32,19.67,Market Adjustment
PH000000353,P00353,2023-01-09,56.28,84.06,Market Adjustment
PH000000354,P00354,2023-01-13,14.39,23.94,Annual Review
PH000000355,P00355,2023-01-01,22.81,40.66,Cost Increase
PH000000356,P00356,2023-01-16,26.77,40.9,Annual Review
PH000000357,P00357,2023-01-09,13.52,18.69,Promotion End
PH000000358,P00358,2023-01-16,23.37,39.08,Promotion End
PH000000359,P00359,2023-01-06,8.91,14.75,Promotion End
PH000000360,P00360,2023-01-07,21.02,24.35,Promotion End
PH000000361,P00361,2023-01-12,24.94,30.43,Market Adjustment
PH000000362,P00362,2023-01-10,5.54,8.12,Cost Increase
PH000000363,P00363,2023-01-14,14.06,24.02,Promotion End
PH000000364,P00364,2023-01-21,33.16,47.13,Cost Increase
PH000000365,P00365,2023-01-21,12.12,18.95,Market Adjustment
PH000000366,P00366,2023-01-15,37.29,55.14,Cost Increase
PH000000367,P00367,2023-01-03,40.18,57.69,Cost Increase
PH000000368,P00368,2023-01-19,33.24,55.96,Annual Review
PH000000369,P00369,2023-01-16,45.83,75.67,Market Adjustment
PH000000370,P00370,2023-01-11,8.73,14.28,Cost Increase
PH000000371,P00371,2023-01-07,54.05,67.23,Market Adjustment
PH000000372,P00372,2023-01-19,13.32,20.54,Market Adjustment
PH000000373,P00373,2023-01-04,29.09,34.25,Cost Increase
PH000000374,P00374,2023-01-21,95.55,117.98,Market Adjustment
PH000000375,P00375,2023-01-21,21.14,29.49,Annual Review
PH000000376,P00376,2023-01-09,28.0,42.48,Cost Increase
PH000000377,P00377,2023-01-11,13.38,22.0,Annual Review
PH000000378,P00378,2023-01-09,95.92,157.6,Promotion End
PH000000379,P00379,2023-01-06,14.4,26.53,Annual Review
PH000000380,P00380,2023-01-03,42.07,52.36,Promotion End
PH000000381,P00381,2023-01-03,65.88,114.79,Promotion End
PH000000382,P00382,2023-01-21,46.43,74.32,Promotion End
PH000000383,P00383,2023-01-05,34.72,43.53,Promotion End
PH000000384,P00384,2023-01-10,28.28,39.65,Market Adjustment
PH000000385,P00385,2023-01-17,11.38,15.34,Promotion End
PH000000386,P00386,2023-01-08,89.28,122.97,Promotion End
PH000000387,P00387,2023-01-06,32.81,58.78,Market Adjustment
PH000000388,P00388,2023-01-05,27.35,43.3,Market Adjustment
PH000000389,P00389,2023-01-14,12.8,16.54,Annual Review
PH000000390,P00390,2023-01-01,27.81,42.09,Promotion End
PH000000391,P00391,2023-01-21,25.93,42.19,Annual Review
PH000000392,P00392,2023-01-05,95.46,121.57,Market Adjustment
PH000000393,P00393,2023-01-09,27.57,37.23,Market Adjustment
PH000000394,P00394,2023-01-10,27.61,36.48,Promotion End
PH000000395,P00395,2023-01-12,12.97,19.01,Annual Review
PH000000396,P00396,2023-01-17,16.47,28.62,Annual Review
PH000000397,P00397,2023-01-10,38.82,62.43,Annual Review
PH000000398,P00398,2023-01-05,7.86,9.04,Market Adjustment
PH000000399,P00399,2023-01-05,54.73,80.1,Market Adjustment
PH000000400,P00400,2023-01-04,56.75,70.52,Market Adjustment
PH000000401,P00401,2023-01-09,15.05,17.76,Annual Review
PH000000402,P00402,2023-01-05,34.54,41.6,Market Adjustment
PH000000403,P00403,2023-01-13,67.39,82.04,Annual Review
PH000000404,P00404,2023-01-11,24.72,30.26,Market Adjustment
PH000000405,P00405,2023-01-13,21.45,27.96,Promotion End
PH000000406,P00406,2023-01-09,24.2,30.23,Promotion End
PH000000407,P00407,2023-01-03,32.17,39.34,Market Adjustment
PH000000408,P00408,2023-01-04,17.31,26.44,Market Adjustment
PH000000409,P00409,2023-01-06,20.93,29.71,Cost Increase
PH000000410,P00410,2023-01-20,33.69,54.93,Cost Increase
PH000000411,P00411,2023-01-09,19.33,22.95,Cost Increase
PH000000412,P00412,2023-01-19,12.03,17.77,Cost Increase
PH000000413,P00413,2023-01-13,7.36,10.34,Promotion End
PH000000414,P00414,2023-01-17,27.41,33.46,Market Adjustment
PH000000415,P00415,2023-01-12,63.8,77.9,Cost Increase
PH000000416,P00416,2023-01-07,35.99,58.75,Promotion End
PH000000417,P00417,2023-01-17,12.51,19.35,Cost Increase
PH000000418,P00418,2023-01-16,15.91,24.26,Market Adjustment
PH000000419,P00419,2023-01-14,21.59,35.46,Promotion End
PH000000420,P00420,2023-01-01,99.03,114.04,Promotion End
PH000000421,P00421,2023-01-01,104.4,137.62,Promotion End
PH000000422,P00422,2023-01-02,94.44,154.28,Market Adjustment
PH000000423,P00423,2023-01-13,30.46,33.88,Market Adjustment
PH000000424,P00424,2023-01-01,254.28,445.04,Annual Review
PH000000425,P00425,2023-01-08,16.87,20.94,Market Adjustment
PH000000426,P00426,2023-01-14,20.94,34.28,Market Adjustment
PH000000427,P00427,2023-01-05,51.12,59.86,Promotion End
PH000000428,P00428,2023-01-04,32.78,38.93,Market Adjustment
PH000000429,P00429,2023-01-19,34.07,47.84,Annual Review
PH000000430,P00430,2023-01-15,7.01,9.48,Market Adjustment
PH000000431,P00431,2023-01-14,13.47,15.96,Annual Review
PH000000432,P00432,2023-01-17,25.62,31.53,Cost Increase
PH000000433,P00433,2023-01-04,16.66,22.85,Promotion End
PH000000434,P00434,2023-01-01,10.39,12.46,Promotion End
PH000000435,P00435,2023-01-01,18.19,21.15,Promotion End
PH000000436,P00436,2023-01-18,32.56,47.41,Market Adjustment
PH000000437,P00437,2023-01-14,44.65,79.99,Market Adjustment
PH000000438,P00438,2023-01-11,7.31,11.91,Annual Review
