SupplierID,SupplierName,RegionID,LeadTimeDays,SupplierRating,Status
S0158,Skyline Group,R03,23,3.5,Active
S0159,Summit Development,R04,29,3.4,Active
S0160,Prime Group,R05,4,4.4,Active
S0161,Build Materials,R01,17,4.2,Active
S0162,Evergreen Construction,R02,4,4.9,Active
S0163,Skyline Construction,R03,42,3.1,Active
S0164,Dream Group,R04,45,3.1,Active
S0165,Skyline Group,R05,19,4.5,Active
S0166,Dream Inc,R01,41,4.9,Active
S0167,Cornerstone Builders,R02,13,4.9,Active
S0168,Prime Inc,R03,4,4.8,Active
S0169,Atlas Homes,R04,28,4.9,Active
S0170,Skyline Builders,R05,40,4.3,Active
S0171,Evergreen Supply,R01,9,4.3,Active
S0172,Home Inc,R02,10,4.6,Active
S0173,Atlas Construction,R03,25,4.0,Active
S0174,Evergreen Materials,R04,7,3.9,Active
S0175,Urban Construction,R05,29,4.6,Active
S0176,Prime Homes,R01,26,4.2,Active
S0177,Pioneer Contracting,R02,30,3.2,Active
S0178,Metro Development,R03,42,4.6,Active
S0179,Metro Group,R04,32,3.8,Active
S0180,Cornerstone Inc,R05,20,3.5,Active
S0181,Skyline Builders,R01,20,4.7,Active
S0182,Skyline Group,R02,39,4.1,Active
S0183,Summit Materials,R03,4,3.9,Active
S0184,Urban Contracting,R04,34,3.3,Active
S0185,Home Materials,R05,20,4.7,Active
S0186,Cornerstone Development,R01,38,2.8,Active
S0187,Skyline Builders,R02,18,4.4,Active
S0188,Pioneer LLC,R03,18,4.3,Active
S0189,Evergreen Group,R04,31,4.5,Active
S0190,Prime Development,R05,17,3.7,Active
S0191,Skyline Development,R01,45,4.1,Active
S0192,Pioneer LLC,R02,36,3.6,Active
S0193,Cornerstone LLC,R03,24,3.6,Active
S0194,Pioneer Development,R04,22,3.4,Active
S0195,Prime Supply,R05,23,3.1,Active
S0196,Metro Contracting,R01,15,3.3,Active
S0197,Pioneer Development,R02,40,4.9,Active
S0198,Metro Inc,R03,21,5.0,Active
S0199,Skyline Development,R04,17,3.6,Active
S0200,Home Construction,R05,37,3.1,Active
S0201,Build Construction,R01,38,3.4,Active
S0202,Dream Group,R02,9,4.7,Active
S0203,Atlas Development,R03,33,3.9,Active
S0204,Urban Contracting,R04,6,3.4,Active
S0205,Pioneer Builders,R05,7,3.7,Active
S0206,Prime Inc,R01,43,4.3,Active
S0207,Dream Contracting,R02,39,4.9,Active
S0208,Prime Supply,R03,10,4.0,Active
S0209,Summit Inc,R04,41,4.5,Active
S0210,Skyline LLC,R05,27,3.8,Active
S0211,Pioneer Development,R01,40,5.0,Active
S0212,Home Inc,R02,42,2.9,Active
S0213,Cornerstone Builders,R03,16,4.2,Active
S0214,Home Builders,R04,13,3.3,Active
S0215,Metro Builders,R05,13,2.8,Active
S0216,Pioneer Inc,R01,33,3.4,Active
S0217,Skyline Development,R02,21,4.3,Active
S0218,Pioneer Builders,R03,17,4.8,Active
S0219,Evergreen Inc,R04,45,4.6,Active
S0220,Skyline Homes,R05,10,4.0,Active
S0221,Evergreen Contracting,R01,20,4.6,Active
S0222,Prime Construction,R02,13,4.5,Active
S0223,Atlas Inc,R03,21,3.8,Active
S0224,Pioneer Development,R04,28,4.9,Active
S0225,Metro LLC,R05,34,3.8,Active
S0226,Atlas Construction,R01,30,4.4,Active
S0227,Atlas Development,R02,4,3.0,Active
S0228,Evergreen Inc,R03,40,4.9,Active
S0229,Evergreen Development,R04,39,2.9,Active
S0230,Dream Group,R05,36,4.2,Active
S0231,Home Contracting,R01,40,3.8,Active
S0232,Pioneer Builders,R02,33,3.6,Active
S0233,Urban Materials,R03,45,3.0,Active
S0234,Dream Materials,R04,29,4.3,Active
S0235,Home Homes,R05,38,2.9,Active
S0236,Prime Materials,R01,19,3.5,Active
S0237,Summit LLC,R02,3,4.2,Active
S0238,Metro Group,R03,29,2.9,Active
S0239,Metro Materials,R04,42,4.5,Active
S0240,Evergreen Group,R05,6,3.2,Active
S0241,Metro Contracting,R01,21,3.8,Active
S0242,Cornerstone Group,R02,10,2.9,Active
S0243,Evergreen Inc,R03,18,4.4,Active
S0244,Home LLC,R04,3,4.0,Active
S0245,Prime Supply,R05,10,3.8,Active
S0246,Prime Contracting,R01,34,4.9,Active
S0247,Home LLC,R02,20,3.7,Active
S0248,Pioneer Group,R03,18,3.8,Active
S0249,Dream Homes,R04,15,4.8,Active
S0250,Metro Contracting,R05,7,3.4,Active
