CustomerID,CustomerName,CustomerType,RegionID,SalesRepID,City,State,ZipCode,JoinDate,CreditLimit,Status
CU000025,Build Construction,Builder,R05,SR0165,UT Metro,UT,53652,2023-10-20,25000,Active
CU000026,Dream Homes,Distributor,R05,SR0200,WA Metro,WA,49221,2024-12-12,100000,Active
CU000027,Urban Builders,Contractor,R05,SR0010,OR Metro,OR,86507,2023-09-11,100000,Active
CU000028,Skyline Construction,Distributor,R04,SR0189,NM Heights,NM,32349,2018-08-29,500000,Active
CU000029,Build Group,Distributor,R02,SR0037,FL Heights,FL,29848,2025-04-02,50000,Active
CU000030,Urban Group,Retailer,R01,SR0066,NY Heights,NY,51124,2023-02-16,500000,Active
CU000031,Skyline Development,Retailer,R03,SR0153,MI Heights,MI,39473,2024-11-27,50000,Active
CU000032,Metro Development,Distributor,R02,SR0152,SC Metro,SC,85166,2020-11-14,100000,Active
CU000033,Prime Materials,Builder,R02,SR0092,NC City,NC,95979,2023-01-16,1000000,Active
CU000034,Prime Inc,Builder,R03,SR0088,WI Heights,WI,41363,2024-02-27,50000,Active
CU000035,  Cornerstone Group ,Builder,R02,SR0132,FL City,FL,28018,2021-07-25,100000,Active
CU000036,Urban Development,Contractor,R04,SR0064,OK Heights,OK,21725,2018-12-19,100000,Active
CU000037,Dream Development,Retailer,R04,SR0129,AZ City,AZ,11214,2020-03-11,250000,Active
CU000038,Metro Group,Retailer,R04,SR0159,NV Heights,NV,24764,2025-01-22,50000,Active
CU000039,Atlas Supply,Retailer,R02,SR0107,FL Heights,FL,93719,2017-12-22,100000,Active
CU000040,Urban Supply,Retailer,R04,SR0044,TX City,TX,,2020-09-12,250000,Active
CU000041,Home Materials,Builder,R03,SR0183,WI Heights,WI,18142,2021-07-19,25000,Active
CU000042,Home Materials,Distributor,R05,SR0040,OR Heights,OR,38721,2025-05-21,1000000,Active
CU000043,Metro Supply,Contractor,R05,SR0180,OR Metro,OR,99173,2022-11-23,250000,Active
CU000044,Atlas Builders,Builder,R04,SR0119,NV Heights,NV,81781,2018-11-05,25000,Active
CU000045,Skyline Inc,Builder,R03,SR0038,WI Metro,WI,76895,2022-10-04,1000000,Active
CU000046,Pioneer Development,Builder,R04,SR0019,OK Heights,ok,61897,2023-06-27,500000,Active
CU000047,Prime LLC,Retailer,R01,SR0111,NJ Metro,NJ,19046,2021-08-02,1000000,Active
CU000048,Summit Group,Builder,R02,SR0132,GA Heights,GA,59479,2024-04-30,100000,Active
CU000049,Metro Contracting,Retailer,R03,SR0173,IL City,IL,39188,2022-03-12,250000,Active
CU000050,Skyline Group,Contractor,R05,SR0125,CO Heights,CO,46129,2017-05-12,50000,Active
CU000051,Prime Builders,Contractor,R04,SR0079,NV City,NV,68515,2019-09-30,50000,Active
CU000052,Skyline Construction,Retailer,R01,SR0071,MA Metro,MA,47914,2023-06-24,500000,Active
CU000053,Evergreen LLC,Builder,R05,SR0100,OR City,OR,49387,2024-01-09,50000,Active
CU000054,Evergreen Homes,Retailer,R04,SR0019,NV Metro,NV,51777,2021-03-22,100000,Active
CU000055,Home Contracting,Builder,R02,SR0077,TN Metro,TN,17552,2021-05-10,50000,Active
CU000056,Prime Group,Contractor,R02,SR0107,NC City,NC,22119,2020-01-05,1000000,Active
CU000057,Skyline Inc,Retailer,R04,SR0014,NV Heights,NV,83249,2020-05-26,25000,Active
CU000058,Pioneer Supply,Retailer,R01,SR0036,NY City,NY,36805,2020-03-05,1000000,Active
CU000059,Home Materials,Distributor,R04,SR0114,OK Heights,OK,75179,2020-08-04,100000,Active
CU000060,Atlas Supply,Distributor,R02,SR0132,NC Metro,NC,12125,2020-04-24,25000,Active
CU000061,Atlas Supply,Distributor,R02,SR0072,GA Metro,GA,95800,2025-02-11,250000,Active
CU000062,Dream LLC,Contractor,R04,SR0114,OK City,OK,81058,2017-11-01,50000,Active
CU000063,Skyline Builders,Contractor,R01,SR0041,NJ Metro,NJ,11198,2023-12-06,1000000,Active
CU000064,Build LLC,Retailer,R05,SR0160,CO Heights,CO,11553,2017-03-12,25000,Active
CU000065,Metro Contracting,Retailer,R05,SR0035,CO City,CO,91235,2021-06-14,25000,Active
CU000066,Skyline Supply,Contractor,R01,SR0146,PA Metro,PA,20566,2018-01-18,500000,Active
CU000067,Build Construction,Retailer,R04,SR0179,OK Metro,OK,20837,2023-05-07,250000,Active
CU000068,Cornerstone Inc,Retailer,R01,SR0071,CT City,CT,16102,2023-02-03,50000,Active
CU000069,Skyline Inc,Builder,R05,SR0105,CA City,CA,62205,2023-05-11,25000,Active
CU000070,Dream Builders,Contractor,R04,SR0124,NV Metro,NV,55332,2020-10-27,1000000,Active
CU000071,Build Development,Distributor,R05,SR0130,UT Heights,UT,69054,2021-11-04,100000,Active
CU000072,Atlas Development,Builder,R02,SR0122,TN Heights,TN,19634,2025-04-18,25000,Active
CU000073,Build Development,Distributor,R04,SR0034,NM Metro,NM,45358,2022-01-13,25000,Active
CU000074,Build Builders,Distributor,R05,SR0135,UT Heights,UT,22198,2017-02-20,25000,Active
CU000075,Metro Supply,Retailer,R03,SR0028,IN Metro,IN,32227,2020-05-18,1000000,Active
CU000076,Summit Development,Builder,R03,SR0023,IN City,IN,73469,2025-01-31,50000,Active
CU000077,Prime Contracting,Retailer,R04,SR0064,NV Heights,NV,61864,2021-12-09,250000,Active
CU000078,Home Materials,Distributor,R03,SR0193,IN Heights,IN,36326,2020-07-31,50000,Active
CU000079,Summit Development,Builder,R03,SR0078,IN Heights,IN,61502,2023-08-23,100000,Active
CU000080,Cornerstone Group,Contractor,R05,SR0180,WA Heights,WA,37479,2021-08-03,25000,Active
CU000081,Home Contracting,Distributor,R04,SR0099,AZ Heights,AZ,59412,2023-07-13,50000,Active
CU000082,Build Materials,Contractor,R04,SR0134,NV Heights,NV,80373,2019-10-14,500000,Active
CU000083,Atlas Homes,Contractor,R03,SR0198,OH Heights,OH,53463,2018-02-08,25000,Active
CU000084,Atlas Inc,Builder,R03,SR0168,OH Heights,OH,59036,2020-11-13,500000,Active
CU000085,Prime Builders,Builder,R01,SR0091,MA City,MA,28569,2022-11-05,250000,Active
CU000086,Cornerstone Group,Contractor,R04,SR0034,NM Metro,NM,49356,2020-11-06,250000,Active
CU000087,Dream LLC,Distributor,R01,SR0076,NY Heights,NY,83380,2024-01-24,500000,Active
CU000088,Build Inc,Builder,R02,SR0137,GA Heights,GA,68926,2019-04-23,250000,Active
CU000089,Dream Materials,Distributor,R03,SR0033,IL Heights,IL,69972,2022-12-02,500000,Active
CU000090,Atlas Builders,Retailer,R03,SR0198,WI Metro,WI,70012,2023-11-22,250000,Active
CU000091,Prime Supply,Distributor,R05,SR0045,CA Heights,CA,33992,2021-09-10,100000,Active
CU000092,Dream Group,Builder,R05,SR0125,WA Heights,WA,94575,2022-06-29,250000,Active
CU000093,Atlas Construction,Distributor,R03,SR0103,OH City,OH,11256,2023-04-20,250000,Active
CU000094,Cornerstone Group,Builder,R05,SR0160,CO Metro,CO,20835,2020-04-11,250000,Active
CU000095,Dream Group,Contractor,R01,SR0171,PA City,PA,74921,2020-01-03,100000,Active
CU000096,Pioneer LLC,Builder,R05,SR0015,OR Heights,OR,65725,2020-05-04,1000000,Active
CU000097,Pioneer Builders,Retailer,R01,SR0111,MA Metro,MA,41056,2024-12-21,25000,Active
CU000098,Skyline Supply,Builder,R05,SR0200,CO City,CO,84720,2020-08-18,50000,Active
CU000099,Evergreen Builders,Builder,R03,SR0088,MI Heights,MI,63948,2024-11-13,500000,Active
CU000100,Evergreen Homes,Distributor,R02,SR0102,GA City,GA,85684,2022-01-26,50000,Active
CU000101,Home Materials,Contractor,R01,SR0161,NJ Metro,New Jersey,73968,2025-03-13,1000000,Active
CU000102,Skyline Homes,Retailer,R04,SR0174,NM City,NM,74843,2023-02-20,250000,Active
CU000103,Evergreen Construction,Contractor,R05,SR0160,WA Heights,WA,92074,2018-10-10,100000,Active
CU000104,Cornerstone Contracting,Retailer,R04,SR0139,OK City,OK,49566,2018-01-18,50000,Active
CU000105,Evergreen Contracting,Builder,R03,SR0118,MI City,MI,91999,2021-10-25,1000000,Active
CU000106,Prime Contracting,Retailer,R01,SR0066,NJ City,New Jersey,78084,2018-05-09,250000,Active
CU000107,Summit Builders,Retailer,R04,SR0024,AZ Metro,AZ,23425,2018-07-16,50000,Active
CU000108,Metro Inc,Builder,R04,SR0049,AZ Heights,AZ,,2024-01-17,25000,Active
CU000109,Prime Builders,Distributor,R02,SR0142,SC Heights,SC,26142,2020-07-12,50000,Active
CU000110,Metro Inc,Contractor,R02,SR0027,GA Metro,GA,89638,2024-05-20,50000,Active
CU000111,Skyline Homes,Builder,R03,SR0193,OH Heights,OH,17152,2022-07-21,500000,Active
CU000112,Atlas Builders,Builder,R04,SR0159,TX City,TX,11581,2021-05-04,1000000,Active
CU000113,Dream Group,Retailer,R05,SR0175,CO Metro,CO,19567,2019-06-03,1000000,Active
CU000114,Evergreen LLC,Builder,R01,SR0161,NJ Metro,NJ,65518,2020-02-11,100000,Active
CU000115,Dream LLC,Contractor,R01,SR0161,PA City,PA,86865,2020-06-24,50000,Active
CU000116,Summit Builders,Builder,R04,SR0079,AZ City,AZ,89800,2018-05-05,25000,Active
CU000117,Pioneer Materials,Retailer,R01,SR0001,NY Heights,NY,43980,2025-03-22,50000,Active
CU000118,Metro Builders,Retailer,R01,SR0136,NJ Metro,NJ,85582,2017-08-16,100000,Active
CU000119,Home Builders,Contractor,R04,SR0119,NV City,NV,98358,2017-06-30,50000,Active
CU000120,Summit Contracting,Distributor,R01,SR0151,NY City,NY,14635,2019-07-09,100000,Active
CU000121,Prime Inc,Builder,R03,SR0103,OH Metro,OH,75803,2022-10-14,100000,Active
CU000122,  Home Materials ,Retailer,R01,SR0146,MA City,MA,69866,2025-04-18,100000,Active
CU000123,Pioneer Supply,Contractor,R05,SR0120,WA Metro,WA,81638,2021-08-07,500000,Active
CU000124,Cornerstone Construction,Retailer,R01,SR0111,NY Heights,NY,10191,2018-03-02,1000000,Active
CU000125,Build Contracting,Distributor,R02,SR0132,TN City,TN,22193,2024-11-10,250000,Active
CU000126,Prime LLC,Distributor,R03,SR0028,IN Heights,IN,61688,2024-06-06,500000,Active
CU000127,Summit Materials,Builder,R02,SR0082,GA Metro,GA,45645,2023-07-23,100000,Active
CU000128,Pioneer Materials,Distributor,R01,SR0051,NY City,NY,80244,2020-06-16,250000,Active
CU000129,Evergreen Development,Retailer,R04,SR0029,NM City,NM,89076,2018-08-31,50000,Active
CU000130,Build Development,Distributor,R01,SR0126,NY Metro,NY,32789,2023-03-28,500000,Active
CU000131,Dream Builders,Builder,R05,SR0150,WA City,WA,,2019-03-23,25000,Active
CU000132,Atlas Development,Distributor,R04,SR0029,NM Heights,NM,19828,2018-06-12,500000,Active
CU000133,Build Contracting,Contractor,R01,SR0011,PA City,PA,66774,2021-04-17,250000,Active
CU000134,Home Development,Builder,R04,SR0069,AZ Metro,AZ,29481,2024-04-05,50000,Active
CU000135,Build Builders,Builder,R03,SR0178,IN Metro,IN,27987,2024-01-28,250000,Active
CU000136,Metro Group,Builder,R05,SR0115,CA Metro,CA,84141,2017-04-17,250000,Active
CU000137,Build Group,Contractor,R03,SR0008,WI City,WI,86544,2019-10-13,100000,Active
CU000138,Atlas Homes,Retailer,R02,SR0017,NC Heights,NC,32768,2023-08-21,50000,Active
CU000139,Atlas Supply,Contractor,R01,SR0181,PA Heights,PA,74517,2018-01-05,50000,Active
CU000140,Metro Group,Builder,R01,SR0071,NY Heights,NY,,2020-10-27,25000,Active
CU000141,Atlas Contracting,Retailer,R02,SR0007,NC City,NC,78982,2024-11-25,50000,Active
CU000142,Urban Contracting,Retailer,R04,SR0109,NV City,NV,67261,2018-12-15,100000,Active
CU000143,Atlas Contracting,Distributor,R05,SR0075,UT Metro,UT,48602,2023-05-14,1000000,Active
CU000144,Skyline Inc,Builder,R01,SR0101,NY Heights,NY,75035,2020-11-21,500000,Active
CU000145,Evergreen Materials,Retailer,R03,SR0028,OH Heights,OH,44761,2019-11-18,1000000,Active
CU000146,Cornerstone Homes,Distributor,R01,SR0121,NJ City,NJ,64266,2018-02-20,250000,Active
CU000147,Pioneer Builders,Contractor,R04,SR0074,NV Heights,NV,14379,2017-10-31,50000,Active
CU000148,Prime LLC,Distributor,R03,SR0053,OH Metro,OH,22203,2024-11-25,1000000,Active
CU000149,Summit Contracting,Retailer,R01,SR0051,MA Heights,MA,53397,2024-05-29,500000,Active
CU000150,Summit Inc,Distributor,R03,SR0033,MI City,MI,74349,2017-12-25,25000,Active
CU000151,Build Supply,Contractor,R03,SR0063,WI Metro,WI,48248,2020-06-17,25000,Active
CU000152,Evergreen LLC,Distributor,R04,SR0084,OK Metro,OK,58630,2017-07-02,25000,Active
CU000153,Home Inc,Distributor,R03,SR0083,IN Metro,IN,97486,2025-06-26,50000,Active
CU000154,Metro Homes,Retailer,R05,SR0020,WA Heights,WA,72236,2017-11-20,250000,Active
CU000155,Atlas Inc,Builder,R04,SR0184,TX Heights,TX,68856,2019-03-01,500000,Active
CU000156,Summit Supply,Retailer,R02,SR0027,FL Metro,FL,92211,2025-02-26,1000000,Active
CU000157,Metro Materials,Distributor,R01,SR0176,NJ Metro,NJ,78116,2018-04-06,250000,Active
CU000158,Atlas Builders,Retailer,R04,SR0184,AZ City,AZ,83752,2021-08-11,500000,Active
CU000159,Atlas Group,Distributor,R03,SR0158,IN Heights,IN,46099,2017-06-08,500000,Active
CU000160,Cornerstone Group,Retailer,R04,SR0079,NM Heights,NM,58816,2020-06-27,25000,Active
CU000161,Dream Development,Distributor,R03,SR0033,IN Heights,IN,68079,2023-10-14,50000,Active
CU000162,Cornerstone Group,Builder,R01,SR0066,NY Metro,NY,59009,2017-09-26,250000,Active
CU000163,Atlas Construction,Distributor,R03,SR0043,WI Metro,WI,36309,2017-07-27,500000,Active
CU000164,Metro Homes,Distributor,R03,SR0118,OH Metro,OH,26236,2023-08-31,250000,Active
CU000165,Urban Materials,Retailer,R04,SR0189,AZ Metro,AZ,43903,2017-04-23,500000,Active
CU000166,Skyline Supply,Contractor,R04,SR0184,TX City,TX,45269,2022-04-26,50000,Active
CU000167,Home Inc,Retailer,R02,SR0002,GA Heights,GA,50037,2021-10-02,50000,Active
CU000168,Pioneer Development,Retailer,R04,SR0084,NM Metro,NM,91737,2023-04-19,50000,Active
CU000169,Prime Group,Retailer,R05,SR0100,UT Metro,UT,46239,2024-05-11,1000000,Active
CU000170,Build Inc,Distributor,R03,SR0168,OH City,OH,51888,2020-04-25,50000,Active
CU000171,Build Inc,Builder,R03,SR0123,IN Metro,IN,84978,2024-09-12,1000000,Active
CU000172,Home Contracting,Builder,R05,SR0115,CO Heights,CO,83170,2025-04-23,500000,Active
CU000173,Prime Supply,Retailer,R03,SR0108,WI City,WI,50250,2019-12-04,1000000,Active
CU000174,Build Inc,Contractor,R05,SR0040,OR Metro,OR,91350,2024-08-20,250000,Active
CU000175,Dream Contracting,Distributor,R04,SR0134,NV Metro,NV,54914,2018-08-10,25000,Active
CU000176,  Evergreen Contracting ,Builder,R03,SR0158,OH City,OH,17603,2023-06-19,100000,Active
CU000177,Summit Homes,Builder,R02,SR0042,SC City,SC,72573,2025-03-12,500000,Active
CU000178,Build Construction,Retailer,R03,SR0168,IL Metro,IL,42613,2018-06-13,50000,Active
CU000179,Dream Builders,Retailer,R01,SR0186,MA Heights,MA,49085,2021-11-12,100000,Active
CU000180,Dream Homes,Contractor,R02,SR0112,NC Metro,NC,39402,2023-08-13,50000,Active
CU000181,Evergreen Construction,Contractor,R05,SR0120,WA City,WA,93928,2023-08-30,1000000,Active
CU000182,Cornerstone Builders,Builder,R01,SR0006,NJ Heights,NJ,59840,2019-04-22,25000,Active
CU000183,Metro Development,Contractor,R01,SR0031,PA Metro,PA,27978,2020-03-03,1000000,Active
CU000184,Skyline Development,Builder,R01,SR0061,NJ Metro,NJ,36433,2017-06-11,500000,Active
CU000185,Skyline Construction,Distributor,R05,SR0155,CO City,CO,,2018-09-03,100000,Active
CU000186,Evergreen Supply,Builder,R01,SR0031,CT City,CT,48800,2017-06-11,100000,Active
CU000187,  Cornerstone Builders ,Builder,R03,SR0103,MI Heights,MI,16014,2020-09-08,250000,Active
CU000188,Prime Materials,Distributor,R03,SR0088,IN Heights,IN,33969,2020-01-19,1000000,Active
CU000189,Dream Construction,Distributor,R04,SR0054,OK Metro,OK,30892,2023-05-20,25000,Active
CU000190,Atlas Construction,Distributor,R04,SR0124,AZ Heights,AZ,27125,2021-12-11,100000,Active
CU000191,Cornerstone LLC,Retailer,R01,SR0101,NJ Metro,NJ,85582,2022-10-28,25000,Active
CU000192,Cornerstone Supply,Contractor,R05,SR0140,UT City,UT,96993,2017-02-17,1000000,Active
CU000193,Prime Group,Builder,R02,SR0157,TN Metro,TN,53371,2023-03-05,50000,Active
CU000194,Pioneer Inc,Distributor,R04,SR0029,OK City,OK,75333,2025-05-11,250000,Active
CU000195,Metro LLC,Retailer,R01,SR0131,NJ Metro,NJ,,2022-09-14,25000,Active
CU000196,Urban Construction,Distributor,R05,SR0150,WA Heights,WA,69566,2025-01-14,100000,Active
CU000197,Skyline Construction,Retailer,R03,SR0033,IN City,IN,93055,2024-11-15,1000000,Active
CU000198,Cornerstone Homes,Distributor,R01,SR0156,NJ City,NJ,90065,2019-06-03,50000,Active
CU000199,Summit Construction,Distributor,R04,SR0109,AZ Heights,AZ,98098,2022-02-17,25000,Active
CU000200,Metro Construction,Builder,R05,SR0160,UT City,UT,66729,2024-10-04,25000,Active
CU000201,Summit Inc,Builder,R05,SR0045,WA Heights,WA,52184,2020-01-26,25000,Active
CU000202,Dream Homes,Retailer,R04,SR0144,NM Metro,NM,77147,2024-12-25,50000,Active
CU000203,Cornerstone Development,Builder,R05,SR0070,WA City,WA,98129,2022-08-26,500000,Active
CU000204,Metro Group,Retailer,R05,SR0040,OR Heights,OR,97445,2021-09-27,100000,Active
CU000205,Dream Construction,Retailer,R01,SR0006,CT City,CT,36201,2024-08-31,250000,Active
CU000206,Metro Construction,Builder,R03,SR0093,OH City,OH,69322,2025-04-29,50000,Active
CU000207,Home Construction,Retailer,R05,SR0165,CO City,CO,60797,2023-03-12,1000000,Active
CU000208,Atlas Group,Builder,R01,SR0081,NJ Heights,NJ,93071,2025-02-17,50000,Active
CU000209,Prime Contracting,Retailer,R02,SR0057,NC Metro,NC,77350,2023-03-30,1000000,Active
CU000210,Build Materials,Contractor,R03,SR0188,OH City,OH,30290,2024-01-06,100000,Active
CU000211,Urban Builders,Contractor,R05,SR0185,OR Metro,OR,51662,2022-09-01,500000,Active
CU000212,Prime Materials,Retailer,R02,SR0172,SC Heights,SC,37964,2019-06-14,250000,Active
CU000213,Build Builders,Builder,R05,SR0180,UT Metro,UT,68414,2017-06-13,1000000,Active
CU000214,Metro Development,Distributor,R03,SR0123,IN City,IN,77746,2022-06-17,100000,Active
CU000215,Metro Builders,Contractor,R01,SR0061,PA Heights,PA,31940,2024-01-12,100000,Active
CU000216,Summit Builders,Builder,R01,SR0066,NY Heights,NY,67047,2017-04-08,1000000,Active
CU000217,Build Contracting,Retailer,R04,SR0029,NM City,NM,83149,2021-07-28,25000,Active
CU000218,Urban Construction,Contractor,R04,SR0129,OK Heights,OK,25506,2025-06-24,250000,Active
CU000219,Metro Builders,Distributor,R05,SR0025,CA Heights,CA,99899,2021-04-12,100000,Active
CU000220,Skyline Contracting,Retailer,R04,SR0054,TX Metro,TX,81529,2024-08-06,500000,Active
CU000221,Prime Construction,Contractor,R03,SR0178,IL Heights,IL,,2020-06-02,50000,Active
CU000222,Metro Contracting,Contractor,R02,SR0132,NC City,NC,38939,2019-01-13,1000000,Active
CU000223,Metro Builders,Distributor,R05,SR0150,CA Heights,CA,18829,2020-09-17,1000000,Active
CU000224,Home Inc,Retailer,R03,SR0078,OH Heights,OH,35362,2024-10-11,25000,Active
CU000225,Urban Homes,Distributor,R05,SR0185,WA Heights,WA,51053,2020-02-08,100000,Active
CU000226,Pioneer Group,Contractor,R03,SR0108,OH Heights,OH,50038,2020-02-24,250000,Active
CU000227,Evergreen Builders,Distributor,R02,SR0082,TN City,TN,12441,2023-08-14,1000000,Active
CU000228,Metro Group,Retailer,R02,SR0082,FL Heights,FL,29481,2018-07-03,500000,Active
CU000229,Urban LLC,Builder,R04,SR0029,NV Heights,NV,,2022-10-07,250000,Active
CU000230,Atlas Contracting,Distributor,R02,SR0057,SC City,SC,73373,2019-08-08,500000,Active
CU000231,Evergreen Supply,Contractor,R01,SR0071,PA Metro,PA,57349,2017-06-13,25000,Active
CU000232,Home Development,Retailer,R03,SR0168,IL Heights,IL,84732,2023-08-05,1000000,Active
CU000233,Metro Homes,Contractor,R01,SR0121,CT Metro,CT,55224,2022-08-18,50000,Active
CU000234,Metro Development,Contractor,R02,SR0072,SC City,SC,34498,2024-05-31,25000,Active
CU000235,Evergreen Group,Contractor,R02,SR0037,SC Metro,SC,87436,2019-09-26,250000,Active
CU000236,Dream LLC,Builder,R01,SR0186,NY Heights,NY,85008,2022-10-18,50000,Active
CU000237,Cornerstone Development,Distributor,R04,SR0009,NV Heights,NV,38389,2018-11-30,1000000,Active
CU000238,Dream Inc,Distributor,R02,SR0047,SC Heights,SC,44671,2023-09-10,500000,Active
CU000239,Dream Builders,Distributor,R05,SR0125,CA City,CA,78512,2018-09-05,250000,Active
CU000240,Atlas Construction,Distributor,R05,SR0155,CA City,CA,79655,2024-05-24,500000,Active
CU000241,Evergreen Homes,Distributor,R02,SR0002,TN Heights,TN,58546,2019-07-29,1000000,Active
CU000242,Cornerstone Inc,Contractor,R04,SR0189,OK Metro,OK,27548,2020-03-06,1000000,Active
CU000243,Build Construction,Builder,R05,SR0085,UT Metro,UT,25444,2024-09-18,50000,Active
CU000244,Summit Inc,Retailer,R03,SR0033,IN Metro,IN,80268,2024-08-19,50000,Active
CU000245,Pioneer Contracting,Retailer,R04,SR0179,AZ Metro,AZ,82733,2024-11-29,500000,Active
CU000246,Skyline Group,Retailer,R04,SR0039,AZ Heights,AZ,31206,2023-03-06,1000000,Active
CU000247,Build Builders,Contractor,R05,SR0125,CA City,CA,71822,2019-12-14,1000000,Active
CU000248,Cornerstone Homes,Contractor,R02,SR0192,NC City,NC,62513,2018-12-19,25000,Active
CU000249,Metro Development,Builder,R04,SR0064,OK City,OK,88579,2024-07-23,1000000,Active
CU000250,Prime Development,Builder,R01,SR0001,PA City,PA,56285,2022-10-22,50000,Active
CU000251,Cornerstone LLC,Builder,R01,SR0176,NJ City,NJ,55625,2023-10-20,100000,Active
CU000252,Home Contracting,Retailer,R02,SR0182,SC Metro,SC,23954,2018-04-25,25000,Active
CU000253,Cornerstone Group,Retailer,R05,SR0185,OR Heights,OR,83815,2022-02-23,100000,Active
CU000254,Home Builders,Retailer,R04,SR0154,NV City,NV,38885,2021-08-17,25000,Active
CU000255,Home Supply,Contractor,R03,SR0003,WI Heights,WI,62288,2023-03-22,1000000,Active
CU000256,Atlas Development,Builder,R02,SR0112,SC Metro,SC,99536,2019-08-20,50000,Active
CU000257,Skyline Inc,Distributor,R02,SR0072,NC City,NC,23983,2023-11-20,50000,Active
CU000258,Atlas Materials,Retailer,R01,SR0151,CT City,CT,85303,2021-06-18,100000,Active
CU000259,Summit Group,Builder,R02,SR0017,TN City,TN,14268,2022-02-16,500000,Active
CU000260,Build Construction,Retailer,R01,SR0101,CT Metro,CT,59732,2019-02-06,1000000,Active
CU000261,Atlas Materials,Retailer,R05,SR0090,OR City,OR,75374,2021-02-04,250000,Active
CU000262,Dream Inc,Distributor,R04,SR0059,NM Metro,NM,23090,2021-04-10,500000,Active
CU000263,Build Contracting,Retailer,R02,SR0047,GA Heights,GA,27625,2022-06-17,250000,Active
CU000264,Summit Builders,Contractor,R03,SR0183,MI Heights,MI,17869,2022-01-17,25000,Active
CU000265,Metro Development,Builder,R03,SR0118,MI Metro,MI,63970,2023-06-21,500000,Active
CU000266,Urban LLC,Retailer,R05,SR0095,UT City,UT,68580,2022-03-15,100000,Active
CU000267,Evergreen Inc,Retailer,R02,SR0107,GA Heights,GA,19351,2020-07-21,250000,Active
CU000268,Pioneer Materials,Builder,R03,SR0128,MI Heights,MI,78280,2017-04-05,100000,Active
CU000269,Cornerstone Builders,Distributor,R02,SR0082,GA Heights,GA,62041,2023-02-25,1000000,Active
CU000270,Prime Development,Retailer,R01,SR0166,NJ Metro,NJ,21050,2019-07-29,25000,Active
CU000271,Metro Contracting,Distributor,R02,SR0042,NC Metro,NC,96972,2022-03-29,50000,Active
CU000272,Cornerstone LLC,Distributor,R05,SR0145,OR Heights,OR,88326,2022-11-15,50000,Active
CU000273,Skyline Builders,Contractor,R05,SR0155,OR Metro,OR,57943,2017-01-01,500000,Active
CU000274,Metro Construction,Contractor,R05,SR0095,WA Metro,WA,74478,2021-10-30,250000,Active
CU000275,Urban Supply,Distributor,R03,SR0003,WI City,WI,83472,2021-03-30,500000,Active
CU000276,Skyline LLC,Retailer,R02,SR0137,NC City,NC,90375,2024-04-10,1000000,Active
CU000277,Dream Contracting,Distributor,R05,SR0065,OR Metro,OR,93478,2019-02-09,25000,Active
CU000278,Build Contracting,Contractor,R03,SR0018,IL City,IL,46977,2019-08-12,500000,Active
