ProductID,ProductName,CategoryID,CategoryName,SupplierID,StandardCost,ListPrice,WeightLbs,Status
P00027,Fasteners Standard 0027,C12,Fasteners,S0171,9.78,13.94,6.77,Active
P00028,Doors Standard 0028,C13,Doors,S0081,19.51,25.47,5.08,Active
P00029,Windows Premium 0029,C14,Windows,S0096,22.36,37.24,34.66,Active
P00030,Concrete Accessories Premium 0030,C15,Concrete Accessories,S0247,14.79,24.7,21.57,Active
P00031,Cement Standard 0031,C01,Cement,S0163,8.35,10.53,6.68,Active
P00032,Drywall Standard 0032,C02,Drywall,S0087,30.38,41.42,15.3,Active
P00033,Lumber Premium 0033,C03,Lumber,S0087,44.61,56.14,18.43,Active
P00034,Roofing Commercial 0034,C04,Roofing,S0092,21.24,25.51,5.95,Active
P00035,Insulation Commercial 0035,C05,Insulation,S0162,49.43,68.37,7.6,Active
P00036,Steel Pro 0036,C06,Steel,S0241,11.1,15.67,3.25,Active
P00037,Paint Premium 0037,C07,Paint,S0248,14.24,17.83,14.12,Active
P00038,Flooring Standard 0038,C08,Flooring,S0113,29.96,44.08,16.8,Active
P00039,Plumbing Commercial 0039,C09,Plumbing,S0234,20.1,33.69,10.41,Active
P00040,Electrical Premium 0040,C10,Electrical,S0159,42.01,63.06,6.83,Active
P00041,Tools Commercial 0041,C11,Tools,S0080,37.33,59.88,4.97,Active
P00042,Fasteners Premium 0042,C12,Fasteners,S0066,21.03,34.61,6.4,Active
P00043,Doors Commercial 0043,C13,Doors,S0133,11.74,14.69,13.99,Active
P00044,Windows Premium 0044,C14,Windows,S0060,19.52,33.82,9.13,Active
P00045,Concrete Accessories Premium 0045,C15,Concrete Accessories,S0204,37.96,66.14,13.49,Active
P00046,Cement Commercial 0046,C01,Cement,S0040,43.2,62.26,8.26,Active
P00047,Drywall Premium 0047,C02,Drywall,S0111,20.16,27.27,8.4,Active
P00048,Lumber Commercial 0048,C03,Lumber,S0035,8.32,14.49,2.45,Active
P00049,Roofing Pro 0049,C04,Roofing,S0019,10.74,15.68,3.68,Active
P00050,Insulation Standard 0050,C05,Insulation,S0057,35.87,45.11,4.0,Active
P00051,Steel Premium 0051,C06,Steel,S0090,20.81,36.41,29.06,Active
P00052,Paint Premium 0052,C07,Paint,S0169,21.13,31.45,17.53,Active
P00053,Flooring Commercial 0053,C08,Flooring,S0047,14.1,20.92,7.5,Active
P00054,Plumbing Standard 0054,C09,Plumbing,S0132,13.94,19.47,6.65,Active
P00055,Electrical Premium 0055,C10,Electrical,S0010,48.82,61.73,1.91,Active
P00056,Tools Premium 0056,C11,Tools,S0086,36.75,64.48,11.18,Active
P00057,Fasteners Pro 0057,C12,Fasteners,S0217,17.89,25.98,2.46,Active
P00058,Doors Commercial 0058,C13,Doors,S0144,28.52,49.94,5.6,Active
P00059,Windows Commercial 0059,C14,Windows,S0023,31.91,52.29,9.2,Active
P00060,Concrete Accessories Premium 0060,C15,Concrete Accessories,S0012,83.2,131.74,7.28,Active
P00061,Cement Premium 0061,C01,Cement,S0118,13.24,20.39,10.61,Active
P00062,Drywall Standard 0062,C02,Drywall,S0035,31.63,49.69,30.67,Active
P00063,Lumber Premium 0063,C03,Lumber,S0013,48.65,67.28,12.44,Active
P00064,Roofing Premium 0064,C04,Roofing,S0154,75.51,97.97,3.1,Active
P00065,Insulation Standard 0065,C05,Insulation,S0109,17.33,25.18,3.92,Active
P00066,Steel Standard 0066,C06,Steel,S0092,20.64,24.31,2.61,Active
P00067,Paint Premium 0067,C07,Paint,S0125,42.29,60.33,7.39,Active
P00068,Flooring Pro 0068,C08,Flooring,S0069,9.68,17.65,3.62,Active
P00069,Plumbing Standard 0069,C09,Plumbing,S0065,33.77,42.05,19.19,Active
P00070,Electrical Standard 0070,C10,Electrical,S0037,109.7,136.42,124.27,Active
P00071,Tools Standard 0071,C11,Tools,S0189,36.24,65.71,3.7,Active
P00072,Fasteners Premium 0072,C12,Fasteners,S0122,6.1,10.92,11.48,Active
P00073,Doors Pro 0073,C13,Doors,S0008,15.35,24.27,6.21,Active
P00074,Windows Commercial 0074,C14,Windows,S0165,17.66,21.52,7.95,Active
P00075,Concrete Accessories Standard 0075,C15,Concrete Accessories,S0118,57.18,70.78,10.4,Active
P00076,Cement Premium 0076,C01,Cement,S0231,24.26,33.62,3.55,Active
P00077,Drywall Pro 0077,C02,Drywall,S0190,8.4,12.29,5.83,Active
P00078,Lumber Commercial 0078,C03,Lumber,S0140,26.11,36.24,44.31,Active
P00079,Roofing Pro 0079,C04,Roofing,S0057,29.7,48.33,21.86,Active
P00080,Insulation Commercial 0080,C05,Insulation,S0001,19.12,25.98,3.11,Active
P00081,Steel Commercial 0081,C06,Steel,S0210,13.8,19.06,4.7,Active
P00082,Paint Premium 0082,C07,Paint,S0225,120.29,181.08,4.31,Active
P00083,Flooring Commercial 0083,C08,Flooring,S0025,48.76,61.58,4.0,Active
P00084,Plumbing Premium 0084,C09,Plumbing,S0057,52.04,83.52,12.76,Active
P00085,Electrical Commercial 0085,C10,Electrical,S0124,24.3,37.7,8.7,Active
P00086,Tools Commercial 0086,C11,Tools,S0023,17.14,22.14,13.48,Active
P00087,Fasteners Pro 0087,C12,Fasteners,S0069,19.72,27.47,3.0,Active
P00088,Doors Commercial 0088,C13,Doors,S0047,11.08,13.09,10.54,Active
P00089,Windows Pro 0089,C14,Windows,S0233,81.89,126.05,10.42,Active
P00090,Concrete Accessories Pro 0090,C15,Concrete Accessories,S0115,24.95,31.28,11.67,Active
P00091,Cement Premium 0091,C01,Cement,S0008,67.64,114.88,11.0,Active
P00092,Drywall Standard 0092,C02,Drywall,S0114,20.34,30.33,24.43,Active
P00093,Lumber Standard 0093,C03,Lumber,S0175,36.6,43.45,35.95,Active
P00094,Roofing Commercial 0094,C04,Roofing,S0236,30.82,39.52,3.0,Active
P00095,Insulation Commercial 0095,C05,Insulation,S0152,10.41,11.98,39.88,Active
P00096,Steel Standard 0096,C06,Steel,S0212,90.61,105.08,7.68,Active
P00097,Paint Premium 0097,C07,Paint,S0120,20.73,28.14,33.63,Active
P00098,Flooring Commercial 0098,C08,Flooring,S0006,12.49,14.48,4.03,Active
P00099,Plumbing Commercial 0099,C09,Plumbing,S0180,42.54,55.5,6.33,Active
P00100,Electrical Pro 0100,C10,Electrical,S0050,27.02,34.11,7.79,Active
P00101,Tools Premium 0101,C11,Tools,S0036,34.34,40.43,32.03,Active
P00102,Fasteners Commercial 0102,C12,Fasteners,S0021,28.89,51.71,16.11,Active
P00103,Doors Pro 0103,C13,Doors,S0192,6.46,11.67,8.64,Active
P00104,Windows Premium 0104,C14,Windows,S0085,15.03,20.31,3.01,Active
P00105,Concrete Accessories Commercial 0105,C15,Concrete Accessories,S0180,14.66,18.94,6.68,Active
P00106,Cement Premium 0106,C01,Cement,S0024,51.48,71.11,2.74,Active
P00107,Drywall Pro 0107,C02,Drywall,S0033,27.7,42.85,5.84,Active
P00108,Lumber Pro 0108,C03,Lumber,S0164,21.56,33.79,22.25,Active
P00109,Roofing Commercial 0109,C04,Roofing,S0130,39.52,65.76,30.07,Active
P00110,Insulation Standard 0110,C05,Insulation,S0248,24.33,28.4,4.82,Active
P00111,Steel Pro 0111,C06,Steel,S0017,23.18,37.24,11.23,Active
P00112,Paint Commercial 0112,C07,Paint,S0117,30.68,35.19,3.4,Active
P00113,Flooring Pro 0113,C08,Flooring,S0223,28.89,46.12,11.08,Active
P00114,Plumbing Standard 0114,C09,Plumbing,S0226,157.94,192.71,48.87,Active
P00115,Electrical Pro 0115,C10,Electrical,S0174,14.92,24.79,6.97,Active
P00116,Tools Pro 0116,C11,Tools,S0222,9.73,14.93,5.3,Active
P00117,Fasteners Premium 0117,C12,Fasteners,S0002,33.82,53.2,26.72,Active
P00118,Doors Standard 0118,C13,Doors,S0017,16.28,23.33,5.01,Active
P00119,Windows Pro 0119,C14,Windows,S0173,6.03,6.97,7.8,Active
P00120,Concrete Accessories Standard 0120,C15,Concrete Accessories,S0086,12.89,16.53,5.6,Active
P00121,Cement Commercial 0121,C01,Cement,S0200,14.68,20.03,8.29,Active
P00122,Drywall Pro 0122,C02,Drywall,S0192,7.92,9.18,2.41,Active
P00123,Lumber Pro 0123,C03,Lumber,S0128,120.36,139.85,2.83,Active
P00124,Roofing Commercial 0124,C04,Roofing,S0077,12.58,16.23,47.14,Active
P00125,Insulation Standard 0125,C05,Insulation,S0117,207.17,271.13,3.14,Active
P00126,Steel Commercial 0126,C06,Steel,S0232,20.95,24.24,12.27,Active
P00127,Paint Commercial 0127,C07,Paint,S0222,90.93,132.97,3.71,Active
P00128,Flooring Premium 0128,C08,Flooring,S0115,22.84,34.75,18.17,Active
P00129,Plumbing Commercial 0129,C09,Plumbing,S0067,36.76,50.42,6.43,Active
P00130,Electrical Standard 0130,C10,Electrical,S0196,24.69,32.37,2.62,Active
P00131,Tools Pro 0131,C11,Tools,S0243,22.95,32.48,7.1,Active
P00132,Fasteners Standard 0132,C12,Fasteners,S0219,31.9,47.16,5.48,Active
P00133,Doors Commercial 0133,C13,Doors,S0134,37.72,68.85,22.45,Active
P00134,Windows Commercial 0134,C14,Windows,S0075,30.23,53.52,12.39,Active
P00135,Concrete Accessories Commercial 0135,C15,Concrete Accessories,S0091,28.14,38.38,9.03,Active
P00136,Cement Premium 0136,C01,Cement,S0089,16.36,22.3,12.0,Active
P00137,Drywall Premium 0137,C02,Drywall,S0073,25.33,34.59,59.37,Active
P00138,Lumber Premium 0138,C03,Lumber,S0203,81.56,101.09,12.77,Active
P00139,Roofing Pro 0139,C04,Roofing,S0165,15.89,18.16,3.32,Active
P00140,Insulation Pro 0140,C05,Insulation,S0206,62.41,86.7,11.43,Active
P00141,Steel Pro 0141,C06,Steel,S0202,37.94,47.23,1.88,Active
P00142,Paint Commercial 0142,C07,Paint,S0095,51.89,62.41,13.59,Active
P00143,Flooring Commercial 0143,C08,Flooring,S0053,12.46,16.86,5.9,Active
P00144,Plumbing Commercial 0144,C09,Plumbing,S0117,32.61,41.94,9.46,Active
P00145,Electrical Premium 0145,C10,Electrical,S0173,22.1,25.28,8.22,Active
P00146,Tools Commercial 0146,C11,Tools,S0038,22.73,31.94,10.35,Active
P00147,Fasteners Premium 0147,C12,Fasteners,S0078,75.95,92.0,0.9,Active
P00148,Doors Commercial 0148,C13,Doors,S0007,22.97,33.22,10.58,Active
P00149,Windows Premium 0149,C14,Windows,S0105,33.35,50.78,6.46,Active
P00150,Concrete Accessories Premium 0150,C15,Concrete Accessories,S0248,7.93,12.05,12.12,Active
P00151,Cement Pro 0151,C01,Cement,S0004,90.84,131.19,2.27,Active
P00152,Drywall Standard 0152,C02,Drywall,S0171,49.63,66.59,6.71,Active
P00153,Lumber Standard 0153,C03,Lumber,S0099,25.97,30.15,3.5,Active
P00154,Roofing Standard 0154,C04,Roofing,S0189,21.45,35.04,29.08,Active
P00155,Insulation Premium 0155,C05,Insulation,S0121,40.77,60.59,42.91,Active
P00156,Steel Commercial 0156,C06,Steel,S0041,61.82,70.58,13.4,Active
P00157,Paint Standard 0157,C07,Paint,S0222,91.9,109.21,13.4,Active
P00158,Flooring Standard 0158,C08,Flooring,S0071,48.4,63.66,6.91,Active
P00159,Plumbing Premium 0159,C09,Plumbing,S0107,28.41,38.02,4.82,Active
P00160,Electrical Commercial 0160,C10,Electrical,S0240,54.2,73.31,3.13,Active
P00161,Tools Premium 0161,C11,Tools,S0038,46.88,64.56,7.6,Active
P00162,Fasteners Premium 0162,C12,Fasteners,S0163,61.55,100.65,17.74,Active
P00163,Doors Premium 0163,C13,Doors,S0070,96.97,120.17,17.42,Active
P00164,Windows Commercial 0164,C14,Windows,S0192,9.02,10.32,8.5,Active
P00165,Concrete Accessories Premium 0165,C15,Concrete Accessories,S0024,11.94,14.2,5.66,Active
P00166,Cement Standard 0166,C01,Cement,S0063,78.09,104.36,16.02,Active
P00167,Drywall Commercial 0167,C02,Drywall,S0004,16.62,27.32,3.62,Active
P00168,Lumber Premium 0168,C03,Lumber,S0066,27.74,35.69,3.02,Active
P00169,Roofing Pro 0169,C04,Roofing,S0240,16.95,20.15,11.95,Active
P00170,Insulation Commercial 0170,C05,Insulation,S0070,60.87,82.09,15.61,Active
P00171,Steel Commercial 0171,C06,Steel,S0114,5.45,7.22,11.87,Active
P00172,Paint Premium 0172,C07,Paint,S0080,28.51,48.71,13.1,Active
P00173,Flooring Standard 0173,C08,Flooring,S0166,84.04,115.49,1.41,Active
P00174,Plumbing Standard 0174,C09,Plumbing,S0095,17.93,31.11,15.36,Active
P00175,Electrical Pro 0175,C10,Electrical,S0099,8.96,13.08,34.07,Active
P00176,Tools Commercial 0176,C11,Tools,S0097,35.09,64.65,19.34,Active
P00177,Fasteners Pro 0177,C12,Fasteners,S0039,18.18,22.86,18.77,Active
P00178,Doors Premium 0178,C13,Doors,S0106,57.28,79.16,11.13,Active
P00179,Windows Pro 0179,C14,Windows,S0230,31.95,49.27,11.51,Active
P00180,Concrete Accessories Commercial 0180,C15,,S0184,14.82,21.07,7.9,Active
P00181,Cement Premium 0181,C01,Cement,S0166,24.37,27.88,12.74,Active
P00182,Drywall Standard 0182,C02,Drywall,S0153,54.59,62.96,3.48,Active
P00183,Lumber Premium 0183,C03,Lumber,S0182,24.84,41.18,34.24,Active
P00184,Roofing Premium 0184,C04,Roofing,S0187,16.11,19.82,4.31,Active
P00185,Insulation Standard 0185,C05,Insulation,S0048,31.24,39.39,19.3,Active
P00186,Steel Pro 0186,C06,Steel,S0133,27.33,43.27,29.85,Active
P00187,Paint Commercial 0187,C07,Paint,S0227,49.39,67.61,19.25,Active
P00188,Flooring Pro 0188,C08,Flooring,S0212,39.96,53.1,73.32,Active
P00189,Plumbing Pro 0189,C09,Plumbing,S0070,23.49,28.82,1.49,Active
P00190,Electrical Standard 0190,C10,Electrical,S0167,83.34,113.67,5.98,Active
P00191,Tools Premium 0191,C11,Tools,S0024,29.24,52.05,29.33,Active
P00192,Fasteners Premium 0192,C12,Fasteners,S0088,8.83,11.7,2.93,Active
P00193,Doors Commercial 0193,C13,Doors,S0039,8.84,11.95,4.42,Active
P00194,Windows Premium 0194,C14,Windows,S0029,36.88,59.44,14.47,Active
P00195,Concrete Accessories Premium 0195,C15,Concrete Accessories,S0072,32.9,56.13,2.53,Active
P00196,Cement Standard 0196,C01,Cement,S0084,5.38,7.48,9.48,Active
P00197,Drywall Pro 0197,C02,Drywall,S0048,19.49,28.69,13.65,Active
P00198,Lumber Commercial 0198,C03,Lumber,S0195,44.32,63.17,10.22,Active
P00199,Roofing Commercial 0199,C04,Roofing,S0019,46.16,83.89,11.09,Active
P00200,Insulation Pro 0200,C05,Insulation,S0220,39.29,45.08,4.79,Active
P00201,Steel Pro 0201,C06,Steel,S0022,23.91,28.72,10.77,Active
P00202,Paint Pro 0202,C07,Paint,S0168,48.15,60.09,6.33,Active
P00203,Flooring Standard 0203,C08,Flooring,S0045,39.05,66.08,7.1,Active
P00204,Plumbing Pro 0204,C09,Plumbing,S0089,24.97,44.07,19.04,Active
P00205,Electrical Premium 0205,C10,Electrical,S0174,6.72,11.37,2.81,Active
P00206,Tools Standard 0206,C11,Tools,S0111,9.61,16.36,1.1,Active
P00207,Fasteners Pro 0207,C12,Fasteners,S0116,16.86,29.85,17.72,Active
P00208,Doors Commercial 0208,C13,Doors,S0173,22.21,29.68,10.78,Active
P00209,Windows Pro 0209,C14,Windows,S0106,58.12,89.06,29.81,Active
P00210,Concrete Accessories Standard 0210,C15,Concrete Accessories,S0132,25.83,31.13,30.52,Active
P00211,Cement Premium 0211,C01,Cement,S0098,28.92,34.11,4.25,Active
P00212,Drywall Premium 0212,C02,Drywall,S0154,17.88,29.85,2.38,Active
P00213,Lumber Commercial 0213,C03,Lumber,S0022,14.56,25.55,6.54,Active
P00214,Roofing Standard 0214,C04,Roofing,S0135,47.58,55.13,42.47,Active
P00215,Insulation Pro 0215,C05,Insulation,S0116,10.3,12.72,12.85,Active
P00216,Steel Pro 0216,C06,Steel,S0148,13.09,16.97,13.84,Active
P00217,Paint Premium 0217,C07,Paint,S0171,24.74,36.96,1.74,Active
P00218,Flooring Premium 0218,C08,Flooring,S0203,51.93,75.53,5.24,Active
P00219,Plumbing Premium 0219,C09,Plumbing,S0057,18.66,23.33,3.45,Active
P00220,Electrical Pro 0220,C10,Electrical,S0027,17.15,22.63,13.26,Active
P00221,Tools Standard 0221,C11,Tools,S0161,23.75,38.88,12.13,Active
P00222,Fasteners Pro 0222,C12,Fasteners,S0167,34.93,54.22,29.62,Active
P00223,Doors Premium 0223,C13,Doors,S0194,21.33,36.39,2.39,Active
P00224,Windows Premium 0224,C14,Windows,S0002,57.23,80.18,6.7,Active
P00225,Concrete Accessories Pro 0225,C15,Concrete Accessories,S0216,59.16,89.75,12.74,Active
P00226,Cement Premium 0226,C01,Cement,S0128,24.73,31.4,12.35,Active
P00227,Drywall Standard 0227,C02,Drywall,S0178,106.24,147.45,58.51,Active
P00228,Lumber Commercial 0228,C03,Lumber,S0151,28.46,36.88,10.42,Active
P00229,Roofing Commercial 0229,C04,Roofing,S0162,57.59,70.27,4.22,Active
P00230,Insulation Pro 0230,C05,Insulation,S0157,34.23,41.48,8.82,Active
P00231,Steel Pro 0231,C06,Steel,S0028,33.78,38.51,4.26,Active
P00232,Paint Premium 0232,C07,Paint,S0019,8.91,10.71,1.4,Active
P00233,Flooring Pro 0233,C08,Flooring,S0032,12.4,16.72,5.97,Active
P00234,Plumbing Standard 0234,C09,Plumbing,S0122,22.08,35.12,51.6,Active
P00235,Electrical Standard 0235,C10,Electrical,S0149,58.8,89.27,3.8,Active
P00236,Tools Pro 0236,C11,Tools,S0168,34.58,60.63,6.26,Active
P00237,Fasteners Commercial 0237,C12,Fasteners,S0093,22.22,30.17,10.66,Active
P00238,Doors Commercial 0238,C13,Doors,S0081,41.82,55.06,6.65,Active
P00239,Windows Pro 0239,C14,Windows,S0111,57.09,91.4,3.23,Active
P00240,Concrete Accessories Commercial 0240,C15,Concrete Accessories,S0163,27.23,35.26,93.49,Active
P00241,Cement Pro 0241,C01,Cement,S0150,31.69,46.97,32.78,Active
P00242,Drywall Pro 0242,C02,Drywall,S0131,28.91,50.44,15.22,Active
P00243,Lumber Pro 0243,C03,Lumber,S0214,26.06,36.55,7.74,Active
P00244,Roofing Pro 0244,C04,Roofing,S0069,15.71,22.46,13.29,Active
P00245,Insulation Standard 0245,C05,Insulation,S0219,14.94,19.92,16.43,Active
P00246,Steel Commercial 0246,C06,Steel,S0002,57.96,107.15,12.55,Active
P00247,Paint Pro 0247,C07,Paint,S0068,22.19,28.94,13.58,Active
P00248,Flooring Pro 0248,C08,Flooring,S0118,21.84,36.97,20.95,Active
P00249,Plumbing Pro 0249,C09,Plumbing,S0250,7.52,12.6,6.67,Active
P00250,Electrical Premium 0250,C10,Electrical,S0094,6.73,7.93,2.35,Active
P00251,Tools Pro 0251,C11,Tools,S0126,70.44,104.81,20.2,Active
P00252,Fasteners Commercial 0252,C12,Fasteners,S0085,16.38,21.77,2.33,Active
P00253,Doors Pro 0253,C13,Doors,S0214,3.4,6.12,5.53,Active
P00254,Windows Pro 0254,C14,Windows,S0132,147.57,191.87,13.35,Active
P00255,Concrete Accessories Premium 0255,C15,Concrete Accessories,S0039,18.33,25.61,13.72,Active
P00256,Cement Commercial 0256,C01,Cement,S0060,9.09,15.13,6.91,Active
P00257,Drywall Premium 0257,C02,Drywall,S0124,29.07,37.4,8.35,Active
P00258,Lumber Commercial 0258,C03,Lumber,S0032,47.16,72.91,12.31,Active
P00259,Roofing Pro 0259,C04,Roofing,S0058,43.29,66.33,4.86,Active
P00260,Insulation Commercial 0260,C05,Insulation,S0182,50.83,66.82,39.1,Active
P00261,Steel Commercial 0261,C06,Steel,S0241,13.75,24.15,4.06,Active
P00262,Paint Premium 0262,C07,Paint,S0022,69.07,84.42,7.6,Active
P00263,Flooring Standard 0263,C08,Flooring,S0028,72.43,100.96,6.06,Active
P00264,Plumbing Commercial 0264,C09,Plumbing,S0156,75.08,93.2,10.16,Active
P00265,Electrical Pro 0265,C10,Electrical,S0108,32.48,38.03,36.9,Active
P00266,Tools Standard 0266,C11,Tools,S0031,21.05,30.3,3.87,Active
P00267,Fasteners Premium 0267,C12,Fasteners,S0009,19.81,27.17,13.56,Active
P00268,Doors Pro 0268,C13,Doors,S0220,9.06,11.06,16.02,Active
P00269,Windows Pro 0269,C14,Windows,S0011,18.59,32.96,25.36,Active
P00270,Concrete Accessories Commercial 0270,C15,Concrete Accessories,S0015,5.07,6.05,4.45,Active
P00271,Cement Commercial 0271,C01,Cement,S0048,8.33,10.39,4.29,Active
P00272,Drywall Standard 0272,C02,Drywall,S0034,32.25,37.28,7.68,Active
P00273,Lumber Premium 0273,C03,Lumber,S0094,22.71,30.78,7.82,Active
P00274,Roofing Standard 0274,C04,Roofing,S0083,31.26,43.67,3.64,Active
P00275,Insulation Premium 0275,C05,Insulation,S0063,44.47,70.33,16.39,Active
P00276,Steel Premium 0276,C06,Steel,S0230,35.5,59.7,14.89,Active
P00277,Paint Premium 0277,C07,Paint,S0151,33.36,46.45,56.35,Active
P00278,Flooring Standard 0278,C08,Flooring,S0010,25.51,29.25,6.85,Active
P00279,Plumbing Commercial 0279,C09,Plumbing,S0020,16.0,24.41,3.56,Active
P00280,Electrical Standard 0280,C10,Electrical,S0188,11.35,17.98,4.06,Active
P00281,Tools Premium 0281,C11,Tools,S0215,25.8,43.44,12.19,Active
P00282,Fasteners Premium 0282,C12,Fasteners,S0042,28.1,45.4,4.53,Active
P00283,Doors Pro 0283,C13,Doors,S0063,50.91,58.74,17.56,Active
P00284,Windows Standard 0284,C14,Windows,S0162,24.25,27.61,5.01,Active
P00285,Concrete Accessories Premium 0285,C15,Concrete Accessories,S0069,39.8,46.94,10.69,Active
P00286,Cement Commercial 0286,C01,Cement,S0190,9.84,15.28,8.49,Active
P00287,Drywall Standard 0287,C02,Drywall,S0155,32.57,48.6,4.02,Active
P00288,Lumber Commercial 0288,C03,Lumber,S0044,30.97,43.86,2.44,Active
P00289,Roofing Commercial 0289,C04,Roofing,S0013,69.08,87.9,27.75,Active
P00290,Insulation Commercial 0290,C05,Insulation,S0076,22.72,28.62,12.52,Active
P00291,Steel Pro 0291,C06,Steel,S0178,5.02,8.13,3.19,Active
P00292,Paint Premium 0292,C07,Paint,S0004,22.07,28.87,3.44,Active
P00293,Flooring Pro 0293,C08,Flooring,S0230,44.7,60.33,54.47,Active
P00294,Plumbing Pro 0294,C09,Plumbing,S0119,11.9,13.79,4.25,Active
P00295,Electrical Premium 0295,C10,Electrical,S0007,31.97,55.74,38.47,Active
P00296,Tools Standard 0296,C11,Tools,S0063,11.52,13.39,11.29,Active
P00297,Fasteners Standard 0297,C12,Fasteners,S0048,97.02,129.44,2.04,Active
P00298,Doors Pro 0298,C13,Doors,S0072,11.06,15.39,6.16,Active
P00299,Windows Pro 0299,C14,Windows,S0109,18.83,24.1,18.75,Active
P00300,Concrete Accessories Pro 0300,C15,Concrete Accessories,S0025,32.11,38.67,1.83,Active
P00301,Cement Premium 0301,C01,Cement,S0229,38.89,60.9,5.37,Active
P00302,Drywall Commercial 0302,C02,Drywall,S0187,66.16,114.06,5.13,Active
P00303,Lumber Pro 0303,C03,Lumber,S0098,17.36,23.08,14.69,Active
P00304,Roofing Pro 0304,C04,Roofing,S0232,46.25,66.54,13.51,Active
P00305,Insulation Premium 0305,C05,Insulation,S0031,8.33,10.33,14.65,Active
P00306,Steel Commercial 0306,C06,Steel,S0117,13.14,16.57,11.15,Active
P00307,Paint Standard 0307,C07,Paint,S0073,10.01,13.83,13.49,Active
P00308,Flooring Pro 0308,C08,Flooring,S0014,15.42,21.36,2.85,Active
P00309,Plumbing Pro 0309,C09,Plumbing,S0073,44.69,55.84,11.22,Active
P00310,Electrical Pro 0310,C10,Electrical,S0241,17.64,27.73,33.32,Active
P00311,Tools Pro 0311,C11,Tools,S0072,19.92,30.2,9.29,Active
P00312,Fasteners Premium 0312,C12,Fasteners,S0102,32.73,45.63,5.17,Active
P00313,Doors Commercial 0313,C13,Doors,S0022,37.71,45.23,5.58,Active
P00314,Windows Standard 0314,C14,Windows,S0242,20.33,33.79,30.77,Active
P00315,Concrete Accessories Pro 0315,C15,Concrete Accessories,S0173,13.09,15.98,1.03,Active
P00316,Cement Premium 0316,C01,Cement,S0135,83.73,109.59,89.51,Active
P00317,Drywall Premium 0317,C02,Drywall,S0096,20.42,30.08,1.58,Active
P00318,Lumber Standard 0318,C03,Lumber,S0072,21.82,34.12,6.98,Active
P00319,Roofing Commercial 0319,C04,Roofing,S0048,23.74,42.32,3.31,Active
P00320,Insulation Commercial 0320,C05,Insulation,S0159,40.68,46.33,14.47,Active
P00321,Steel Pro 0321,C06,Steel,S0037,9.52,13.14,16.93,Active
P00322,Paint Commercial 0322,C07,Paint,S0228,114.08,203.23,10.54,Active
P00323,Flooring Premium 0323,C08,Flooring,S0100,21.41,34.0,7.94,Active
P00324,Plumbing Premium 0324,C09,Plumbing,S0173,41.71,52.44,1.9,Active
P00325,Electrical Commercial 0325,C10,Electrical,S0195,30.42,38.48,6.35,Active
P00326,Tools Standard 0326,C11,Tools,S0189,98.84,172.91,7.72,Active
P00327,Fasteners Standard 0327,C12,Fasteners,S0023,87.14,115.23,3.34,Active
P00328,Doors Premium 0328,C13,Doors,S0154,40.9,51.48,12.03,Active
P00329,Windows Commercial 0329,C14,Windows,S0096,14.76,20.49,10.59,Active
